제목, 저자, 출판사, 정가, 판매가, 출간일
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,22000,19800,2023-06-15
혼자 공부하는 파이썬,윤인성,한빛미디어,22000,19800,2022-06-01
코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,24000,21600,2023-02-20
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,18800,16920,2019-06-20
혼자 공부하는 파이썬,윤인성,한빛미디어,18000,16200,2019-06-10
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,18800,16920,2016-03-03
파이썬(열혈강의)(개정판 VER.2),이강성,프리렉,35000,-1,2005-08-29
파이썬,Y. Daniel Liang,에피스테메,35000,31500,2018-03-02
파이썬(컴퓨팅 사고를 위한),한선관/김태령,생능출판,29000,26100,2019-02-28
파이썬 라이브러리를 활용한 데이터 분석(수정개정판),웨스 맥키니,한빛미디어,33000,29700,2013-10-01
파이썬(비전공자의 데이터 분석을 위한),염기원/오지영,복두출판사,15000,14550,2020-08-20
파이썬(실무에 바로 적용할 수 있는),김유진,다본,25000,22500,2019-04-10
파이썬으로 웹 크롤러 만들기,라이언 미첼,한빛미디어,24000,21600,2016-12-01
모두의 파이썬,이승찬,길벗,12000,10800,2016-05-09
파이썬(Python) 3학년 머신러닝의 구조,모리 요시나오,성안당,18000,16200,2023-09-20
파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자(위키북스 데이터...,김문권,위키북스,25000,22500,2018-05-29
혼자 공부하는 데이터 분석 with 파이썬,박해선,한빛미디어,26000,23400,2023-01-02
파이썬 웹 프로그래밍,김석훈,한빛미디어,22000,19800,2018-08-17
파이썬 머신러닝 완벽 가이드(데이터 사이언스 시리즈 31),권철민,위키북스,38000,34200,2019-02-28
파이썬으로 배우는 알고리즘 트레이딩(위키북스 프로그래밍 & 프랙티스...,조대표,위키북스,40000,36000,2017-05-17
처음 시작하는 파이썬,빌 루바노빅,한빛미디어,30000,27000,2015-12-10
파이썬과 케라스로 배우는 강화학습(위키북스 데이터 사이언스 시리즈 4),이웅원/양혁렬/김건우/이영무/이의령,위키북스,27000,24300,2017-07-31
슬기로운 코딩 생활 with 파이썬 으랏차차 기초편,김정욱/김준석,루비페이퍼,18000,16200,2018-05-15
파이썬 클린 코드,마리아노 아나야,터닝포인트,28000,25200,2019-02-25
Step by Step 파이썬 비즈니스 통계분석,김형수,프레딕스,32000,28800,2020-07-25
파이썬으로 배우는 컴퓨팅사고,김진일/윤장혁,연두에디션,21000,20790,2017-12-15
Do it! 챗GPT&파이썬으로 AI 직원 만들기,이성용,이지스퍼블리싱,25000,22500,2023-11-10
파이썬(Python): 1학년,모리 요시나오,성안당,17000,15300,2018-12-18
파이썬 GUI 프로그래밍 쿡북,부르크하르트 메이어,에이콘출판,35000,31500,2018-04-26
모두의 라즈베리 파이 with 파이썬,이시이 모루나/에사키 노리히데,길벗,25000,22500,2016-06-13
파이썬 프로그래밍(대학생을 위한),크리스 로피,한빛아카데미,22000,21120,2016-02-05
파이썬(Python),박병기,아티오,23000,20700,2017-01-30
고성능 파이썬,미샤 고렐릭/이안 오스발트,한빛미디어,30000,27000,2016-08-10
파이썬과 Jupyter Notebook,시릴 로산트,에이콘출판,20000,18000,2016-03-29
C#과 파이썬을 활용한 OpenCV 4 프로그래밍,윤대희,위키북스,35000,31500,2019-08-13
왕초보! 파이썬 배워 크롤러 DIY 하다!(내꺼하자! 파이썬!),서진수/최경우,더알음,29000,26100,2016-03-16
파이썬(Python) 문제 해결력을 키우는 소프트웨어 개발,서성채,전남대학교출판문화원,22000,20900,2023-02-24
파이썬,김명호,에듀웨이,18000,16200,2019-05-25
파이썬(Python) 2학년 스크래핑의 구조,모리 요시나오,성안당,17000,15300,2021-11-17
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,39000,35100,2023-05-01
파이썬 로보틱스(acorn+PACKT 시리즈),렌틴 조셉,에이콘출판,30000,27000,2016-05-20
스타트 파이썬(Coding Book 코딩스쿨 시리즈 1),황재호,코딩스쿨,19000,17100,2018-09-01
씽크 파이썬(Think Python),앨런 다우니,길벗,22000,19800,2017-10-12
Flask 기반의 파이썬 웹 프로그래밍,이지호,제이펍,33000,29700,2016-05-24
파이썬,한혁수,생능출판,23000,23000,2016-08-31
파이썬,홍의경,생능출판,32000,32000,2022-03-09
