"자치구명","생년월일","성별","동일세대_학령기인구수","동일세대_미취학아동수","직업군","세대주여부","1인가구여부","주택보유여부","대출여부","연체여부","사업자여부","동일세대_세대원_수","추정연소득","추정연소득_백분위","총자산평가금액","순자산평가금액","차량보유","주택보유건수","자가거주여부","주택보유건수_가구기준","자가거주여부_가구기준","총대출약정금액","총대출건수","총대출잔액","은행업종대출잔액","주택담보대출잔액","신용대출잔액","자동차대출잔액","LTV","가구단위_LTV","연체건수","연체금액","연체일수","주택담보대출분기상환금액","카드소비금액","신용카드소비금액","체크카드소비금액","일시불이용금액","할부이용금액","현금서비스이용금액","해외카드이용금액","생애최초주택구입연월","카드사_최근1년월평균_이용금액","온라인 카드사용 금액","오프라인 카드사용 금액","온라인_카드사용금액_백분위수","오프라인_카드사용금액_백분위수","사업체건수","사업자카드이용액","사업자대출잔액","연매출추정금액","가구_추정연소득","가구_총자산평가금액","가구_순자산평가금액","가구_차량보유수","가구_총대출약정금액","가구_대출건수","가구_총대출잔액","가구_대출연체건수","가구_카드연체건수","가구_대출연체금액","가구_카드연체금액","가구_신용카드소비금액","가구_체크카드소비금액"
"관악구",2002,"여",4,0,910,0,0,0,0,0,0,10,16000,95,126900,126000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,2128,2175,0,0,24,NA,NA,NA,NA,NA,NA,0,0,0,0,211870,1759290,1708330,0,60000,3,28913,0,0,0,0,32620,4881
"양천구",1976,"여",2,0,910,0,0,0,0,0,0,10,26000,64,627020,621710,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,147000,2815030,2821160,0,23700,2,4716,0,0,0,0,9317,6596
"마포구",1997,"남",3,0,910,0,0,0,0,0,0,10,20000,85,1271910,1218750,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,304000,3296650,3262130,1,20000,3,14334,0,0,0,0,16633,3760
"강북구",1977,"여",4,1,910,0,0,0,0,0,0,10,35000,36,130000,104140,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4221,1524,2697,2892,59,0,0,NA,1,382000,0,61,100,0,0,0,0,104000,1185100,1135100,0,0,0,0,0,0,0,0,14168,8679
"강남구",2002,"남",3,1,910,0,0,0,0,0,0,10,16000,95,183890,189800,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,100,100,0,0,0,0,142000,1558410,1558410,0,0,0,0,0,0,0,0,2969,304
"금천구",2002,"남",6,0,910,0,0,0,0,0,0,10,16000,95,472480,474670,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,0,1508,1471,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,313070,3561490,3395160,1,0,0,0,0,0,0,0,18331,7774
"중랑구",1999,"남",0,0,910,0,0,0,1,0,0,10,20000,85,160000,157820,0,0,3,0,0,3000,1,0,0,0,0,0,0,0,0,0,0,0,2758,0,2758,2711,0,0,0,NA,1,0,0,100,100,0,0,0,0,77390,710580,818160,1,80000,10,35270,0,0,0,0,13165,11493
"중구",1941,"여",1,0,910,0,0,0,0,0,0,10,17000,94,295680,276510,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12707,0,12707,26086,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,171000,1054720,997680,1,0,0,0,0,0,0,0,18858,39626
"은평구",1972,"여",2,0,910,0,0,0,0,0,0,10,29000,54,130110,104140,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,349,378,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,253000,1627920,1627920,0,331900,2,194167,0,0,0,0,16959,1255
"강남구",1967,"남",1,0,420,0,0,0,0,0,0,10,50000,15,183890,183890,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495,7495,0,7451,655,0,457,200508,3,4122000,4765000,7,8,0,0,0,0,637230,9818190,9818190,0,1391000,6,893617,0,0,0,0,63729,1255
